Array length,Registers,Run,Threads,Time,Percent error
27,14,13,3,1.71946496199996,0.453553
28,14,13,3,3.28808360399989,1.591019
29,14,13,3,6.57066251700007,0.534132
30,14,13,3,13.3168654740002,0.646681
26,14,13,4,0.632687623999971,0.278581
27,14,13,4,1.25501710100002,0.453553
28,14,13,4,2.53546799600008,1.591019
29,14,13,4,4.92399477900017,0.534132
30,14,13,4,9.91009063399997,0.646681
26,14,13,5,0.658145764000039,0.278581
27,14,13,5,1.29902868400006,0.453553
28,14,13,5,2.60423012000001,1.591019
29,14,13,5,5.02788973999986,0.534132
30,14,13,5,10.1464251259999,0.646681
26,14,13,6,0.545418786000027,0.278581
27,14,13,6,1.10671667100007,0.453553
28,14,13,6,2.33371330600016,1.591019
29,14,13,6,4.24831812100001,0.534132
30,14,13,6,8.64625544299997,0.646681
26,14,13,7,0.49823092500003,0.278581
27,14,13,7,0.994963156999916,0.453553
28,14,13,7,2.02868144499985,1.591019
29,14,13,7,3.95033272899991,0.534132
30,14,13,7,7.92590286399991,0.646681
26,14,13,8,0.442253603999973,0.278581
27,14,13,8,0.871805980999966,0.453553
28,14,13,8,1.80002163099994,1.591019
29,14,13,8,3.50088486599998,0.534132
30,14,13,8,6.93691338699955,0.646681
26,14,14,1,2.54504033300003,0.278581
27,14,14,1,5.04832176599996,0.453553
28,14,14,1,9.9408452749999,1.591019
29,14,14,1,19.577812519,0.534132
30,14,14,1,39.7120282129999,0.646681
26,14,14,2,1.24889704000003,0.278581
27,14,14,2,2.49271512200005,0.453553
28,14,14,2,4.93063835600014,1.591019
29,14,14,2,10.0409550230002,0.534132
30,14,14,2,19.9063522620008,0.646681
26,14,14,3,0.836052891999998,0.278581
27,14,14,3,1.6582015030001,0.453553
28,14,14,3,3.29001478999999,1.591019
29,14,14,3,6.6992072879998,0.534132
30,14,14,3,13.2559580159996,0.646681
26,14,14,4,0.621215033999988,0.278581
27,14,14,4,1.26987285000007,0.453553
28,14,14,4,2.50117441400016,1.591019
29,14,14,4,4.95352363600023,0.534132
30,14,14,4,9.93806005900024,0.646681
26,14,14,5,0.650339778999978,0.278581
27,14,14,5,1.27136033500005,0.453553
28,14,14,5,2.54649158100005,1.591019
29,14,14,5,5.14273722300004,0.534132
30,14,14,5,10.1929657840001,0.646681
26,14,14,6,0.558356301999993,0.278581
27,14,14,6,1.11636645300007,0.453553
28,14,14,6,2.27527110699998,1.591019
29,14,14,6,4.29256042299994,0.534132
30,14,14,6,8.78835108099975,0.646681
26,14,14,7,0.502557252000031,0.278581
27,14,14,7,0.99014244,0.453553
28,14,14,7,2.05274736800015,1.591019
29,14,14,7,3.92081308999968,0.534132
30,14,14,7,7.82833517699964,0.646681
26,14,14,8,0.438997432000008,0.278581
27,14,14,8,0.875301519000004,0.453553
28,14,14,8,1.82013276800012,1.591019
29,14,14,8,3.4705175969998,0.534132
30,14,14,8,6.93602250599997,0.646681
26,14,15,1,2.52085828599996,0.278581
27,14,15,1,5.04027053699997,0.453553
28,14,15,1,9.89779542099996,1.591019
29,14,15,1,20.4348057870002,0.534132
30,14,15,1,40.086265209,0.646681
26,14,15,2,1.26857627000004,0.278581
27,14,15,2,2.46166655299999,0.453553
28,14,15,2,4.95248198800005,1.591019
29,14,15,2,9.9352869280001,0.534132
30,14,15,2,20.1465368609997,0.646681
26,14,15,3,0.838423866000028,0.278581
27,14,15,3,1.66348871599996,0.453553
28,14,15,3,3.28286565899998,1.591019
29,14,15,3,6.68348728000001,0.534132
30,14,15,3,13.5251738850002,0.646681
26,14,15,4,0.629669997000008,0.278581
27,14,15,4,1.26574073099994,0.453553
28,14,15,4,2.48105571700012,1.591019
29,14,15,4,4.93802619999997,0.534132
30,14,15,4,9.99698854600047,0.646681
26,14,15,5,0.656104008,0.278581
27,14,15,5,1.28725974499991,0.453553
28,14,15,5,2.62203732900002,1.591019
29,14,15,5,5.07708463499966,0.534132
30,14,15,5,10.1661831279998,0.646681
26,14,15,6,0.577334319000045,0.278581
27,14,15,6,1.13742778699998,0.453553
28,14,15,6,2.17508450900004,1.591019
29,14,15,6,4.50033085099994,0.534132
30,14,15,6,8.47494083900074,0.646681
26,14,15,7,0.499521285000014,0.278581
27,14,15,7,1.00168636800004,0.453553
28,14,15,7,2.04319716500004,1.591019
29,14,15,7,3.94250095799998,0.534132
30,14,15,7,7.91662354699929,0.646681
26,14,15,8,0.438395728999978,0.278581
27,14,15,8,0.875357793000035,0.453553
28,14,15,8,1.79756836899992,1.591019
29,14,15,8,3.47562634999986,0.534132
30,14,15,8,6.96646723899994,0.646681
26,14,16,1,2.65679361299999,0.278581
27,14,16,1,4.91909880900005,0.453553
28,14,16,1,9.81174880899994,1.591019
29,14,16,1,20.088484931,0.534132
30,14,16,1,40.2914616180005,0.646681
26,14,16,2,1.22855796300001,0.278581
27,14,16,2,2.48794373599992,0.453553
28,14,16,2,5.00483380100013,1.591019
29,14,16,2,9.93165180100004,0.534132
30,14,16,2,19.6939472590002,0.646681
26,14,16,3,0.842149790000008,0.278581
27,14,16,3,1.70448778399998,0.453553
28,14,16,3,3.33586028600007,1.591019
29,14,16,3,6.61454765899998,0.534132
30,14,16,3,13.4811738640001,0.646681
26,14,16,4,0.618844725999963,0.278581
27,14,16,4,1.23872275500003,0.453553
28,14,16,4,2.48630026899991,1.591019
29,14,16,4,4.94750458599992,0.534132
30,14,16,4,9.9188656389997,0.646681
26,14,16,5,0.647742014000016,0.278581
27,14,16,5,1.25772795500006,0.453553
28,14,16,5,2.61122929700014,1.591019
29,14,16,5,5.12491945300008,0.534132
30,14,16,5,10.1511894699997,0.646681
26,14,16,6,0.553685118999965,0.278581
27,14,16,6,1.13702919000002,0.453553
28,14,16,6,2.34252837999998,1.591019
29,14,16,6,4.29650988499998,0.534132
30,14,16,6,8.62023903599948,0.646681
26,14,16,7,0.496307479999984,0.278581
27,14,16,7,0.99156399200001,0.453553
28,14,16,7,2.04832794599997,1.591019
29,14,16,7,3.93352611899991,0.534132
