Array length,Registers,Seed,Run,Threads,Time,Percent error
25,14,1,12,7,0.271056260000023,0.226281
26,14,1,12,7,0.541301425999791,0.278581
27,14,1,12,7,1.08420310700012,0.453553
28,14,1,12,7,2.11214623299975,1.591019
29,14,1,12,7,4.24107416799961,0.534132
30,14,1,12,7,8.57848981999996,0.646681
25,14,1,12,8,0.241451686000346,0.226281
26,14,1,12,8,0.48816725100005,0.278581
27,14,1,12,8,0.970387384999867,0.453553
28,14,1,12,8,1.90855469200005,1.591019
29,14,1,12,8,3.79592076599965,0.534132
30,14,1,12,8,7.48718089700014,0.646681
25,14,1,13,1,1.25778901600006,0.226281
26,14,1,13,1,2.75056826800028,0.278581
27,14,1,13,1,5.47658606599998,0.453553
28,14,1,13,1,10.9833904249999,1.591019
29,14,1,13,1,19.4251443200001,0.534132
30,14,1,13,1,38.9035762740004,0.646681
25,14,1,13,2,0.621336484000039,0.226281
26,14,1,13,2,1.36616142599996,0.278581
27,14,1,13,2,2.77541458799988,0.453553
28,14,1,13,2,5.20988751899995,1.591019
29,14,1,13,2,9.92218801400031,0.534132
30,14,1,13,2,19.4472744880004,0.646681
25,14,1,13,3,0.415589839000404,0.226281
26,14,1,13,3,0.912191328000063,0.278581
27,14,1,13,3,1.87862666399997,0.453553
28,14,1,13,3,3.52662859500015,1.591019
29,14,1,13,3,6.49760631699974,0.534132
30,14,1,13,3,12.9807560099998,0.646681
25,14,1,13,4,0.314070887999605,0.226281
26,14,1,13,4,0.713231398000062,0.278581
27,14,1,13,4,1.72404654100001,0.453553
28,14,1,13,4,2.63360519399976,1.591019
29,14,1,13,4,4.97526442300023,0.534132
30,14,1,13,4,9.76259301499977,0.646681
25,14,1,13,5,0.312388557999839,0.226281
26,14,1,13,5,0.605394112999875,0.278581
27,14,1,13,5,1.23243578099982,0.453553
28,14,1,13,5,2.83206301099972,1.591019
